                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.2725,                 0.9212,                 0.9391,                 1.5967,                 1.2015,                 0.9298,                0.89158,                0.89268,                0.95297,                0.64666,                 1.0993,                0.61202,                0.88256,                 1.1474,                0.47727,                0.89983,               0.007492,               0.007492,               0.007492
                     79,                 1.2689,                0.91052,                0.93958,                 1.6087,                 1.2118,                0.93038,                0.87079,                0.91919,                0.94676,                0.63272,                 1.1766,                0.63997,                0.89229,                   1.19,                0.49093,                0.90499,               0.007459,               0.007459,               0.007459
                     80,                 1.2692,                0.93392,                0.93203,                 1.6179,                 1.2383,                0.92478,                0.87424,                0.91281,                 0.9462,                0.65326,                 1.0696,                0.63929,                 0.8754,                 1.1055,                0.49885,                0.88862,               0.007426,               0.007426,               0.007426
                     81,                 1.2713,                0.93099,                0.93547,                 1.6257,                 1.2435,                0.92933,                0.89021,                0.89068,                0.94495,                0.66678,                 1.0748,                0.62493,                0.88047,                 1.0935,                0.49524,                0.89312,               0.007393,               0.007393,               0.007393
                     82,                 1.2623,                0.92012,                0.93414,                 1.5852,                 1.2171,                0.92699,                0.87464,                0.90909,                0.95193,                0.65244,                 1.1256,                0.63374,                0.88203,                 1.1476,                 0.5014,                0.89609,                0.00736,                0.00736,                0.00736
                     83,                 1.2731,                0.91587,                0.94031,                 1.6339,                 1.2279,                0.93205,                0.89043,                0.90025,                0.95316,                0.65503,                  1.103,                0.61805,                0.88466,                 1.1327,                0.47522,                0.90183,               0.007327,               0.007327,               0.007327
                     84,                 1.2688,                0.92418,                0.93333,                 1.6117,                 1.2019,                0.92986,                0.90961,                0.86616,                0.95091,                 0.6307,                 1.1615,                0.63119,                0.88905,                 1.2109,                0.51245,                0.90746,               0.007294,               0.007294,               0.007294
                     85,                 1.2404,                0.89543,                0.93241,                 1.5789,                 1.1973,                0.92553,                0.88155,                0.88889,                 0.9359,                 0.6388,                 1.1026,                0.65404,                 0.8844,                 1.1309,                0.54708,                0.89835,               0.007261,               0.007261,               0.007261
                     86,                 1.2585,                0.91048,                0.93452,                 1.6069,                  1.195,                0.92618,                0.84706,                0.91667,                0.95346,                0.66976,                 1.0534,                0.63879,                  0.869,                  1.116,                0.52129,                0.88873,               0.007228,               0.007228,               0.007228
                     87,                 1.2638,                 0.9122,                0.93527,                 1.5902,                 1.2022,                0.92288,                0.89307,                0.86476,                0.94311,                0.64134,                 1.1222,                0.64779,                0.88002,                  1.158,                0.55208,                0.89859,               0.007195,               0.007195,               0.007195
                     88,                 1.2442,                0.88543,                0.92902,                 1.5877,                 1.1921,                0.91883,                0.87297,                0.91793,                0.94914,                0.66661,                 1.1012,                0.59535,                0.88106,                 1.1149,                0.47744,                0.88875,               0.007162,               0.007162,               0.007162
                     89,                 1.2452,                0.86443,                0.92641,                 1.6009,                  1.152,                0.91874,                0.87355,                0.92461,                 0.9519,                0.66166,                 1.0807,                0.59406,                0.87852,                 1.0892,                0.47187,                0.88705,               0.007129,               0.007129,               0.007129
                     90,                 1.2237,                0.88576,                0.93083,                  1.565,                 1.1846,                0.92442,                0.90633,                 0.8851,                0.95261,                0.66679,                 1.0351,                0.57943,                0.87558,                 1.0643,                 0.4419,                0.88631,               0.007096,               0.007096,               0.007096
                     91,                 1.2331,                0.88278,                0.92889,                 1.5896,                 1.1784,                0.92576,                0.86843,                0.90004,                0.93693,                0.65962,                 1.0441,                0.62708,                0.87438,                 1.0644,                  0.506,                0.88643,               0.007063,               0.007063,               0.007063
                     92,                 1.2255,                0.88473,                0.92384,                  1.583,                 1.1821,                0.91908,                0.85774,                0.93182,                0.94464,                0.65919,                 1.0461,                0.58515,                0.87504,                 1.0594,                0.47831,                0.88431,                0.00703,                0.00703,                0.00703
                     93,                 1.2355,                0.88927,                0.92887,                 1.5775,                 1.1682,                 0.9213,                0.86867,                0.93308,                0.94407,                0.62227,                 1.2347,                0.60697,                0.89879,                 1.2334,                0.47973,                0.90892,               0.006997,               0.006997,               0.006997
                     94,                 1.2053,                0.87308,                0.92256,                 1.5233,                 1.1567,                0.91849,                0.86917,                0.93113,                0.94469,                0.65398,                 1.1049,                0.58124,                 0.8825,                 1.1156,                0.46151,                0.89151,               0.006964,               0.006964,               0.006964
                     95,                 1.2161,                0.87726,                0.91816,                 1.5534,                 1.1549,                0.91304,                0.88361,                0.89394,                0.94282,                0.63683,                  1.158,                0.61302,                0.88987,                  1.191,                0.50658,                0.90204,               0.006931,               0.006931,               0.006931
                     96,                 1.2045,                0.86154,                0.91939,                 1.5517,                  1.149,                 0.9153,                0.84843,                0.92585,                0.94392,                0.64302,                 1.0839,                0.63156,                0.88204,                 1.1449,                0.52138,                0.89965,               0.006898,               0.006898,               0.006898
                     97,                 1.2078,                0.87205,                0.91822,                 1.5312,                 1.1486,                0.91255,                0.88026,                0.90036,                0.94607,                0.66076,                 1.0871,                0.59774,                0.88164,                 1.1034,                0.48286,                0.89303,               0.006865,               0.006865,               0.006865
                     98,                 1.1783,                0.84847,                 0.9201,                 1.5039,                 1.1152,                0.91226,                0.87172,                0.92662,                0.95929,                0.65432,                 1.1261,                0.58867,                 0.8865,                 1.1502,                0.47242,                0.89886,               0.006832,               0.006832,               0.006832
                     99,                 1.1739,                0.83721,                0.91334,                 1.5334,                 1.1045,                0.90898,                 0.8661,                0.92284,                0.95988,                0.66281,                 1.0857,                0.60504,                0.88069,                 1.1103,                0.47761,                0.89491,               0.006799,               0.006799,               0.006799
                    100,                 1.2146,                0.86484,                0.91768,                 1.5525,                 1.1246,                0.91149,                0.88191,                0.90909,                0.95138,                0.67074,                 1.0356,                0.59055,                0.87113,                 1.0508,                0.49085,                0.87984,               0.006766,               0.006766,               0.006766
                    101,                 1.2015,                0.86344,                0.91819,                 1.5245,                 1.1207,                0.90834,                0.89885,                0.87514,                0.94865,                0.65534,                 1.1066,                0.60653,                0.88011,                 1.1128,                0.50205,                0.88856,               0.006733,               0.006733,               0.006733
                    102,                 1.1997,                0.85171,                0.92244,                 1.5342,                 1.1376,                0.91394,                0.90272,                0.86869,                0.94685,                0.64996,                 1.1746,                0.62015,                0.89182,                 1.1917,                0.50749,                0.90155,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.1897,                0.85691,                0.91544,                 1.5219,                 1.1513,                0.90716,                0.86511,                0.90783,                0.95109,                0.65817,                 1.1179,                0.61152,                0.87919,                 1.1431,                 0.5025,                0.88785,               0.006667,               0.006667,               0.006667
                    104,                 1.1545,                0.82503,                 0.9057,                 1.4942,                 1.0849,                0.90025,                 0.8715,                0.89913,                0.95261,                0.67177,                 1.0487,                0.59435,                0.87081,                 1.0771,                0.48974,                0.88089,               0.006634,               0.006634,               0.006634
